Filtered Results (Equilibrium: |theta_eq1| < 10 deg and |theta_eq2 - 90| < 10 deg):
    p1      q1      r1     p2      q2      r2     l1_o    l2_o     a        b      theta_eq1_rad    theta_eq1_deg    theta_eq2_rad    theta_eq2_deg
    ___    ____    ____    ___    ____    ____    ____    ____    ____    _____    _____________    _____________    _____________    _____________

    0.1    0.05    0.01    0.3    0.01    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5259           87.427    
    0.1    0.05    0.01    0.3    0.05    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5259           87.427    
    0.1    0.05    0.03    0.1    0.01    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5848           90.802    
    0.1    0.05    0.03    0.1    0.05    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5848           90.802    
    0.1    0.05    0.03    0.3    0.03    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5848           90.802    
    0.1    0.05    0.03    0.3    0.05    0.03    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5848           90.802    
    0.1    0.05    0.03    0.5    0.05    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5848           90.802    
    0.1    0.05    0.05    0.3    0.05    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5962           91.457    
    0.3    0.05    0.03    0.3    0.01    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5259           87.427    
    0.3    0.05    0.03    0.3    0.05    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5259           87.427    
    0.3    0.05    0.05    0.1    0.03    0.05    0.1     0.1     0.02    0.035               0                0        1.3968           80.028    
    0.3    0.05    0.05    0.1    0.05    0.03    0.1     0.1     0.02    0.035     -8.9334e-09      -5.1184e-07        1.3968           80.028    
    0.3     0.2    0.01    0.1    0.03    0.03    0.1     0.1     0.02     0.02        -0.10896           -6.243        1.6854           96.565    
    0.5    0.05    0.03    0.1    0.01    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.4635           83.855    
    0.5    0.05    0.03    0.3    0.01    0.03    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.4635           83.855    
    0.5    0.05    0.03    0.3    0.03    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.4635           83.855    
    0.5    0.05    0.03    0.5    0.01    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.4635           83.855    
    0.5    0.05    0.03    0.5    0.05    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.4635           83.855    
    0.5    0.05    0.05    0.3    0.01    0.05    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5259           87.427    
    0.5    0.05    0.05    0.3    0.05    0.01    0.1     0.3     0.02     0.02       -0.094166          -5.3953        1.5259           87.427 
